param,kind,base,test,role_changes,role_change_share_active,J_top20,J_topK,level
cons_min_in,порог,5,4,19,0.04,0.82,0.75,низкая
cons_min_in,порог,5,6,8,0.017,0.82,0.96,низкая
cons_strong_in,порог,8,6,0,0.0,0.82,1.0,низкая
cons_strong_in,порог,8,10,0,0.0,0.9,1.0,низкая
cons_max_pass,порог,0.5,0.3,1,0.002,0.9,0.96,низкая
cons_max_pass,порог,0.5,0.7,1,0.002,0.9,1.0,низкая
dist_min_out,порог,10,8,14,0.03,0.82,0.79,низкая
dist_min_out,порог,10,15,21,0.046,0.67,0.82,средняя
band,порог,"(0.8, 1.2)","(0.85, 1.15)",3,0.007,0.9,0.96,низкая
band,порог,"(0.8, 1.2)","(0.7, 1.3)",7,0.015,1.0,1.0,низкая
min_sum,порог,100000,50000,193,0.295,0.9,1.0,высокая
min_sum,порог,100000,200000,153,0.332,1.0,0.85,высокая
coord_min_in,порог,5,4,5,0.011,0.82,1.0,низкая
coord_min_in,порог,5,6,0,0.0,1.0,1.0,низкая
coord_min_out,порог,10,8,0,0.0,1.0,1.0,низкая
coord_min_out,порог,10,15,0,0.0,1.0,1.0,низкая
coord_strong_in,порог,8,6,0,0.0,1.0,1.0,низкая
coord_strong_in,порог,8,10,3,0.007,1.0,0.96,низкая
coord_min_seed_links,порог,2,1,1,0.002,1.0,1.0,низкая
coord_min_seed_links,порог,2,3,0,0.0,1.0,1.0,низкая
fast_days,гипотеза,2,1,7,0.015,1.0,0.92,низкая
fast_days,гипотеза,2,3,5,0.011,0.82,0.96,низкая
fast_min,гипотеза,0.7,0.6,8,0.017,0.9,0.89,низкая
fast_min,гипотеза,0.7,0.8,6,0.013,1.0,0.92,низкая
late_days,гипотеза,3,1,0,0.0,1.0,1.0,низкая
late_days,гипотеза,3,5,0,0.0,1.0,0.92,низкая
sync_min_payers,порог,3,2,0,0.0,0.82,1.0,низкая
sync_min_payers,порог,3,4,0,0.0,0.9,1.0,низкая
weak_seed_share,гипотеза,0.1,0.05,0,0.0,1.0,0.96,низкая
weak_seed_share,гипотеза,0.1,0.2,0,0.0,1.0,1.0,низкая
term_seed_share,гипотеза,0.2,0.1,0,0.0,1.0,1.0,низкая
term_seed_share,гипотеза,0.2,0.3,0,0.0,1.0,1.0,низкая
weak_penalty,гипотеза,0.75,0.6,0,0.0,0.82,0.85,низкая
weak_penalty,гипотеза,0.75,0.9,0,0.0,0.74,0.82,средняя
seed_factor,продукт,0.85,0.7,0,0.0,0.9,0.72,низкая
seed_factor,продукт,0.85,1.0,0,0.0,0.48,0.92,высокая
seed_denom,гипотеза,max,in,3,0.007,0.43,0.64,высокая
role_w,продукт,"{'coordinator': 1.0, 'consolidator': 0.9, 'distributor': 0.8, 'transit': 0.7, 'terminal': 0.5, 'peripheral': 0.1}","{'coordinator': 1, 'consolidator': 1, 'distributor': 1, 'transit': 1, 'terminal': 1, 'peripheral': 0.1}",0,0.0,0.6,0.69,средняя
role_w,продукт,"{'coordinator': 1.0, 'consolidator': 0.9, 'distributor': 0.8, 'transit': 0.7, 'terminal': 0.5, 'peripheral': 0.1}","{'coordinator': 1, 'consolidator': 1, 'distributor': 0.8, 'transit': 0.7, 'terminal': 0.5, 'peripheral': 0.1}",0,0.0,0.82,1.0,низкая
