cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,sum_in_external,sum_out_external,seed_share_internal,back_share,star_share,hub,n_internal_edges,tx_per_link,n_in_cycle3,n_truncated,max_priority,mean_priority,stability,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_peripheral,cluster_type,hypothesis_strength,hypothesis
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,0.0,0.0,0.0,0.0,0.0,100000000456947100,0,0.0,0,0,0.006,0.006,,0,0,0,0,0,19,no_data,нет данных,"Нет данных: узлы без переводов в выгрузке (в т.ч. seed); структуру определить нельзя, нужны входящие переводы и другие периоды"
1,270,1,10178044.0,100000001697501100;100000002527114100;100000002578405100;100000002733905100;100000001166289100,0.0,0.0,0.323,0.184,0.423,100000002578405100,279,1.1,0,4,0.6975,0.1731,0.889,0,0,3,0,1,266,fan_out,умеренная,"Гипотеза: веерная раздача: узел 100000001697501100 отправил 1.5 млн 38 получателям, seed в группе: 1"
2,248,1,27421524.59,100000004070318100;100000008686313100;100000004351795100;100000004299488100;100000007055802100,4664486.55,7110733.34,0.116,0.338,0.181,100000000437046100,353,1.62,24,55,0.7782,0.2432,0.775,1,7,9,1,24,206,core,умеренная,"Гипотеза: возможное ядро: узел 100000006866783100 собирает от 13 плательщиков и раздаёт 67 получателям, seed в группе: 1; 24 узла в круговых потоках"
3,140,3,19196090.0,100000008165763100;100000008304139100;100000003684369100;100000008748914100;100000003366154100,3998349.74,4506497.0,0.422,0.251,0.379,100000003684369100,153,1.39,3,6,0.7849,0.3112,0.831,2,1,4,2,32,99,core,сильная,"Гипотеза: возможное ядро: узел 100000008165763100 собирает от 15 плательщиков и раздаёт 17 получателям, seed в группе: 3; 3 узла в круговых потоках"
4,125,7,18300397.28,100000004707703100;100000001530983100;100000008723830100;100000003016635100;100000006518161100,1248067.0,940305.0,0.508,0.148,0.405,100000003016635100,158,2.04,7,6,0.7503,0.3324,0.904,1,1,2,3,23,95,core,сильная,"Гипотеза: возможное ядро: узел 100000003016635100 собирает от 8 плательщиков и раздаёт 73 получателям, seed в группе: 7; 7 узлов в круговых потоках; 51% внутреннего оборота исходит от seed"
5,119,0,24439680.33,100000000331309100;100000008560717100;100000006889963100;100000000332284100;100000006734214100,4101136.75,5069510.0,0.0,0.128,0.617,100000000331309100,120,1.38,1,33,0.719,0.2088,0.856,0,2,2,4,35,76,collection,умеренная,Гипотеза: возможный сбор средств: узел 100000008560717100 получил 529 тыс от 7 плательщиков (из них seed: 1)
6,102,0,11126820.0,100000008603629100;100000002723538100;100000001857829100;100000004679953100;100000003880331100,2225759.0,4349520.0,0.0,0.211,0.393,100000008603629100,107,1.52,8,43,0.7235,0.2039,0.845,0,0,4,2,8,88,fan_out,слабая,Гипотеза: веерная раздача: узел 100000008603629100 отправил 5.0 млн 61 получателю; 8 узлов в круговых потоках; связь ключевого узла с seed-деньгами слабая
7,74,0,16548311.0,100000008489922100;100000008547948100;100000008710791100;100000002718366100;100000008517538100,2145475.0,3389200.0,0.0,0.238,0.292,100000008547948100,96,1.16,2,36,0.6159,0.2072,0.817,0,1,5,2,25,41,fan_out,слабая,Гипотеза: веерная раздача: узел 100000008489922100 отправил 3.8 млн 36 получателям; связь ключевого узла с seed-деньгами слабая
8,61,0,4350466.67,100000005704413100;100000005578559100;100000005473151100;100000008104567100;100000004569484100,311847.0,468290.0,0.0,0.311,0.462,100000008545727100,65,1.11,4,27,0.607,0.1741,0.925,0,0,2,0,4,55,fan_out,слабая,Гипотеза: веерная раздача: узел 100000005704413100 отправил 1.4 млн 32 получателям; 4 узла в круговых потоках; связь ключевого узла с seed-деньгами слабая
9,56,1,10014014.02,100000002894076100;100000005778283100;100000005782781100;100000001929088100;100000003158727100,1419405.0,1034317.4,0.333,0.072,0.367,100000002958343100,60,1.53,1,2,0.6276,0.3123,0.778,0,0,2,0,13,41,fan_out,слабая,"Гипотеза: веерная раздача: узел 100000005782781100 отправил 1.3 млн 10 получателям, seed в группе: 1; связь ключевого узла с seed-деньгами слабая"
10,51,1,2950313.0,100000003265158100;100000001899164100;100000004692798100;100000004662806100;100000002679516100,270343.4,121771.0,0.461,0.158,0.411,100000008680731100,56,1.29,0,8,0.6914,0.2793,0.945,0,0,1,1,2,47,fan_out,умеренная,"Гипотеза: веерная раздача: узел 100000008680731100 отправил 1.5 млн 27 получателям, seed в группе: 1"
11,51,0,13990812.0,100000005242320100;100000008512827100;100000002670860100;100000001282143100;100000003054328100,1663545.0,1246800.0,0.0,0.186,0.431,100000005242320100,51,1.16,0,11,0.5255,0.2285,0.945,0,1,3,1,25,21,fan_out,слабая,Гипотеза: веерная раздача: узел 100000005242320100 отправил 8.9 млн 21 получателю; связь ключевого узла с seed-деньгами слабая
12,50,3,4135421.0,100000008346837100;100000005074393100;100000008733194100;100000005882013100;100000001236706100,787305.0,380817.0,0.0,0.198,0.321,100000005074393100,53,1.28,4,13,0.7563,0.2373,0.972,1,0,0,0,3,46,core,сильная,"Гипотеза: возможное ядро: узел 100000008346837100 собирает от 9 плательщиков и раздаёт 25 получателям, seed в группе: 3; 4 узла в круговых потоках"
13,49,0,8800381.0,100000003589877100;100000008466579100;100000008547844100;100000001253557100;100000002547110100,1335252.0,1431595.0,0.0,0.169,0.241,100000008547844100,58,1.12,3,13,0.6152,0.2495,0.744,0,2,3,2,12,30,collection,умеренная,Гипотеза: возможный сбор средств: узел 100000001253557100 получил 210 тыс от 5 плательщиков (из них seed: 1); 3 узла в круговых потоках
