cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,19,19,0.0,100000000456947100;100000003265658100;100000003349739100;100000003770083100;100000004021459100,"Нет данных: узлы без переводов в выгрузке (в т.ч. seed); структуру определить нельзя, нужны входящие переводы и другие периоды"
1,270,1,10178044.0,100000001697501100;100000002527114100;100000002578405100;100000002733905100;100000001166289100,"Гипотеза: веерная раздача: узел 100000001697501100 отправил 1.5 млн 38 получателям, seed в группе: 1"
2,248,1,27421524.59,100000004070318100;100000008686313100;100000004351795100;100000004299488100;100000007055802100,"Гипотеза: возможное ядро: узел 100000006866783100 собирает от 13 плательщиков и раздаёт 67 получателям, seed в группе: 1; 24 узла в круговых потоках"
3,140,3,19196090.0,100000008165763100;100000008304139100;100000003684369100;100000008748914100;100000003366154100,"Гипотеза: возможное ядро: узел 100000008165763100 собирает от 15 плательщиков и раздаёт 17 получателям, seed в группе: 3; 3 узла в круговых потоках"
4,125,7,18300397.28,100000004707703100;100000001530983100;100000008723830100;100000003016635100;100000006518161100,"Гипотеза: возможное ядро: узел 100000003016635100 собирает от 8 плательщиков и раздаёт 73 получателям, seed в группе: 7; 7 узлов в круговых потоках; 51% внутреннего оборота исходит от seed"
5,119,0,24439680.33,100000000331309100;100000008560717100;100000006889963100;100000000332284100;100000006734214100,Гипотеза: возможный сбор средств: узел 100000008560717100 получил 529 тыс от 7 плательщиков (из них seed: 1)
6,102,0,11126820.0,100000008603629100;100000002723538100;100000001857829100;100000004679953100;100000003880331100,Гипотеза: веерная раздача: узел 100000008603629100 отправил 5.0 млн 61 получателю; 8 узлов в круговых потоках; связь ключевого узла с seed-деньгами слабая
7,74,0,16548311.0,100000008489922100;100000008547948100;100000008710791100;100000002718366100;100000008517538100,Гипотеза: веерная раздача: узел 100000008489922100 отправил 3.8 млн 36 получателям; связь ключевого узла с seed-деньгами слабая
8,61,0,4350466.67,100000005704413100;100000005578559100;100000005473151100;100000008104567100;100000004569484100,Гипотеза: веерная раздача: узел 100000005704413100 отправил 1.4 млн 32 получателям; 4 узла в круговых потоках; связь ключевого узла с seed-деньгами слабая
9,56,1,10014014.02,100000002894076100;100000005778283100;100000005782781100;100000001929088100;100000003158727100,"Гипотеза: веерная раздача: узел 100000005782781100 отправил 1.3 млн 10 получателям, seed в группе: 1; связь ключевого узла с seed-деньгами слабая"
10,51,1,2950313.0,100000003265158100;100000001899164100;100000004692798100;100000004662806100;100000002679516100,"Гипотеза: веерная раздача: узел 100000008680731100 отправил 1.5 млн 27 получателям, seed в группе: 1"
