gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,peripheral,0.6,2,0.4587,"выраженных признаков нет: 3 вх./1 исх., оборот 110 тыс; связан с 1 seed; взаимные переводы с 1"
100000000018102100,peripheral,0.3,64,0.0649,"обрыв выгрузки на последнем колене: получил 7 тыс от 1 плательщика, исходящие неизвестны"
100000000031787100,peripheral,0.6,9,0.3369,"выраженных признаков нет: 1 вх./2 исх., оборот 90 тыс; взаимные переводы с 1"
100000000041368100,terminal,0.72,3,0.4201,"конечная точка в пределах выгрузки: получил 160 тыс от 1 плательщика, исходящих нет; доля seed-денег ~100%; связан с 1 seed"
100000000076451100,peripheral,0.6,18,0.3744,"выраженных признаков нет: 3 вх./4 исх., оборот 88 тыс; взаимные переводы с 2"
100000000089154100,distributor,0.55,36,0.5934,"веерная рассылка: 15 получателей, отправил 426 тыс; видимый вход 10 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника)"
100000000190228100,peripheral,0.9,19,0.2494,"выраженных признаков нет: 1 вх./1 исх., оборот 29 тыс"
100000000201868100,transit,0.865,65,0.5381,"признаки транзита: получил 190 тыс, отправил 190 тыс (100%); 100% отправлено в течение 2 дней после входа; взаимные переводы с 1; доля seed-денег ~47%"
100000000254336100,peripheral,0.6,2,0.2979,"выраженных признаков нет: 2 вх./1 исх., оборот 97 тыс"
100000000267734100,peripheral,0.6,9,0.4997,"выраженных признаков нет: 2 вх./7 исх., оборот 282 тыс; связан с 1 seed; взаимные переводы с 1"
100000000274067100,peripheral,0.6,9,0.5168,"выраженных признаков нет: 2 вх./3 исх., оборот 3.0 млн; связан с 1 seed; взаимные переводы с 1"
100000000287768100,peripheral,0.9,2,0.1352,"выраженных признаков нет: 1 вх./0 исх., оборот 35 тыс"
100000000288317100,peripheral,0.6,64,0.3541,"выраженных признаков нет: 2 вх./3 исх., оборот 100 тыс"
100000000291906100,peripheral,0.6,59,0.4082,"выраженных признаков нет: 2 вх./2 исх., оборот 456 тыс; взаимные переводы с 1"
100000000291908100,peripheral,0.6,59,0.3013,"выраженных признаков нет: 1 вх./1 исх., оборот 296 тыс"
100000000297649100,peripheral,0.9,10,0.2761,"выраженных признаков нет: 1 вх./1 исх., оборот 71 тыс; взаимные переводы с 1"
100000000299820100,peripheral,0.3,6,0.0654,"обрыв выгрузки на последнем колене: получил 10 тыс от 1 плательщика, исходящие неизвестны"
100000000307908100,peripheral,0.9,51,0.1429,"выраженных признаков нет: 1 вх./0 исх., оборот 5 тыс"
100000000331309100,distributor,0.75,5,0.719,"веерная рассылка: 99 получателей, отправил 23.0 млн; видимый вход 985 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника)"
