src,dst,sum_kzt,n_tx,depth,src_depth,dst_depth,min_tx,max_tx,first_date,last_date,active_days,mutual,back_edge
100000003684369100,100000003037660100,53000.0,1,1,0,1,53000.0,53000.0,2026-07-23,2026-07-23,1,false,false
100000003684369100,100000001527186100,678000.0,2,1,0,1,338000.0,340000.0,2026-07-24,2026-07-24,1,false,false
100000008680731100,100000008229700100,23500.0,1,1,0,1,23500.0,23500.0,2026-07-14,2026-07-14,1,false,false
100000003684369100,100000001072022100,740000.0,2,1,0,1,300000.0,440000.0,2026-07-25,2026-07-25,1,false,false
100000002527114100,100000008768896100,47060.0,1,1,0,1,47060.0,47060.0,2026-07-28,2026-07-28,1,false,false
100000003684369100,100000005432267100,250000.0,1,1,0,1,250000.0,250000.0,2026-07-22,2026-07-22,1,false,false
100000002527114100,100000008755361100,14627.0,1,1,0,1,14627.0,14627.0,2026-07-24,2026-07-24,1,false,false
100000007747786100,100000004159526100,100000.0,1,1,0,1,100000.0,100000.0,2026-07-09,2026-07-09,1,false,false
100000008680731100,100000003970394100,85000.0,1,1,0,1,85000.0,85000.0,2026-07-13,2026-07-13,1,false,false
100000002527114100,100000004254434100,44445.0,2,1,0,1,10000.0,34445.0,2026-07-13,2026-07-13,1,false,false
100000007982728100,100000003977183100,41800.0,1,1,0,0,41800.0,41800.0,2026-07-20,2026-07-20,1,false,true
100000003016635100,100000000440392100,105705.0,4,1,0,1,23250.0,34780.0,2026-07-05,2026-07-19,4,false,false
100000002527114100,100000008744849100,44445.0,1,1,0,1,44445.0,44445.0,2026-07-22,2026-07-22,1,false,false
100000000343175100,100000002774456100,50363.0,1,1,0,1,50363.0,50363.0,2026-07-02,2026-07-02,1,false,false
100000001732159100,100000008232832100,337000.0,2,1,0,1,137000.0,200000.0,2026-07-17,2026-07-17,1,false,false
100000003200071100,100000003980083100,30000.0,1,1,0,1,30000.0,30000.0,2026-07-21,2026-07-21,1,false,false
100000006866783100,100000007055802100,200000.0,3,1,0,1,40000.0,100000.0,2026-07-13,2026-07-18,3,false,false
100000006866783100,100000000661912100,25311.0,1,1,0,1,25311.0,25311.0,2026-07-03,2026-07-03,1,false,false
100000003977183100,100000002824176100,144000.0,1,1,0,1,144000.0,144000.0,2026-07-13,2026-07-13,1,false,false
100000008680731100,100000003265158100,80700.0,1,1,0,1,80700.0,80700.0,2026-07-11,2026-07-11,1,false,false
100000007747786100,100000003589877100,26000.0,1,1,0,1,26000.0,26000.0,2026-07-16,2026-07-16,1,false,false
100000002527114100,100000004739664100,12000.0,1,1,0,1,12000.0,12000.0,2026-07-23,2026-07-23,1,false,false
100000000343175100,100000002618492100,178000.0,1,1,0,1,178000.0,178000.0,2026-07-14,2026-07-14,1,false,false
100000000343175100,100000003635170100,25000.0,1,1,0,1,25000.0,25000.0,2026-07-20,2026-07-20,1,false,false
100000005485830100,100000002462183100,107500.0,3,1,0,1,24500.0,58000.0,2026-07-04,2026-07-13,3,false,false
100000006866783100,100000004847758100,18775.0,1,1,0,1,18775.0,18775.0,2026-07-06,2026-07-06,1,false,false
100000003684369100,100000003739818100,57293.0,1,1,0,1,57293.0,57293.0,2026-07-21,2026-07-21,1,false,false
100000006866783100,100000000011452100,75000.0,3,1,0,1,15000.0,40000.0,2026-07-03,2026-07-09,3,false,false
100000004813068100,100000008383405100,25000.0,2,1,0,1,5000.0,20000.0,2026-07-01,2026-07-08,2,false,false
100000000343175100,100000007334196100,150002.0,1,1,0,1,150002.0,150002.0,2026-07-15,2026-07-15,1,false,false
100000003016635100,100000002704875100,30550.0,1,1,0,1,30550.0,30550.0,2026-07-21,2026-07-21,1,false,false
100000008680731100,100000003239379100,92500.0,1,1,0,1,92500.0,92500.0,2026-07-12,2026-07-12,1,false,false
100000004723755100,100000008748914100,95000.0,5,1,0,1,7000.0,40000.0,2026-07-25,2026-07-28,4,false,false
